n,inplace,extramemory
12050,1.049796,0.754205
12050,1.040782,0.756095
12100,1.04989,0.753677
12100,1.16384,0.913087
12150,1.201682,0.922063
12150,1.072526,0.773394
12200,1.076625,0.770512
12200,1.074203,0.768206
12250,1.09149,0.809693
12250,1.09445,0.776168
12300,1.194688,0.907066
12300,1.17472,0.901771
12350,1.213183,0.906815
12350,1.19037,0.89482
12400,1.199563,0.933015
12400,1.198014,0.914696
12450,1.220514,0.905842
12450,1.202967,0.910567
12500,1.226232,0.932225
12500,1.216415,0.909739
12550,1.239291,0.922999
12550,1.223975,0.931779
12600,1.238819,0.934373
12600,1.212293,0.941156
12650,1.262798,0.935599
12650,1.24871,0.938439
12700,1.247758,0.944149
12700,1.252894,0.941032
12750,1.273155,0.947375
12750,1.245909,0.952392
12800,1.258772,0.951832
12800,1.260819,0.95958
12850,1.279686,0.967229
12850,1.274894,0.957788
12900,1.277064,0.980478
12900,1.284523,0.965787
12950,1.303311,0.984259
12950,1.294313,0.982337
13000,1.314226,1.044039
13000,1.315775,1.016233
13050,1.348123,1.01429
13050,1.319449,0.996609
13100,1.329227,1.000084
13100,1.343021,1.033137
13150,1.520313,1.134385
13150,1.32181,1.023546
13200,1.379069,1.017571
13200,1.349911,1.036029
13250,1.394317,1.039305
13250,1.359654,1.055645
13300,1.374174,1.038393
13300,1.360193,1.050516
13350,1.396062,1.060178
13350,1.393157,1.038955
13400,1.401148,1.045336
13400,1.38914,1.046703
13450,1.417416,1.057562
13450,1.393524,1.082553
13500,1.436703,1.067394
13500,1.416872,1.060715
13550,1.460102,1.074635
13550,1.458403,1.071098
13600,1.47344,1.097291
13600,1.442814,1.080615
13650,1.456921,1.108202
13650,1.51135,1.26468
13700,1.530049,1.252814
13700,1.454163,1.119588
13750,1.479939,1.121789
13750,1.479683,1.125204
13800,1.502033,1.12432
13800,1.487025,1.119379
13850,1.49558,1.118012
13850,1.484456,1.13382
13900,1.545295,1.184043
13900,1.558791,1.307465
13950,1.569188,1.322437
13950,1.841083,1.353352
