n,time1,time2,time3,time4,time5,time6,inplace,extramemory
265,0.064374,0.039333,0.065339,0.050412,0.049848,0.039847,0.000109,0.000147
270,0.073041,0.04117,0.068617,0.05388,0.053664,0.041447,0.000109,0.000147
270,0.067273,0.040502,0.06714,0.053122,0.053191,0.041523,0.000103,0.000141
275,0.071047,0.042813,0.071015,0.057592,0.057698,0.043671,0.000103,0.000138
275,0.070831,0.042816,0.070981,0.057676,0.0577,0.043644,0.000103,0.000139
280,0.075448,0.045755,0.075091,0.062626,0.062693,0.04602,0.000108,0.000148
280,0.075551,0.045419,0.076994,0.063145,0.062891,0.046055,0.000108,0.000148
285,0.079274,0.047566,0.079122,0.067694,0.067831,0.04889,0.000114,0.000158
285,0.079712,0.048246,0.080644,0.069253,0.069386,0.049296,0.00013,0.000176
290,0.084419,0.050956,0.086021,0.075467,0.072715,0.051387,0.000122,0.00017
290,0.083538,0.050668,0.083795,0.072667,0.0725,0.051481,0.000133,0.000175
295,0.089274,0.053538,0.088155,0.075787,0.075776,0.053674,0.00012,0.000171
295,0.087574,0.052667,0.087844,0.07577,0.075767,0.053689,0.00012,0.000171
300,0.09216,0.055499,0.092488,0.0798,0.079991,0.056644,0.000125,0.000177
300,0.09217,0.055492,0.092343,0.081284,0.081987,0.056676,0.000133,0.000181
305,0.098215,0.059966,0.098648,0.085134,0.084811,0.060366,0.000137,0.000184
305,0.097924,0.059856,0.098339,0.086604,0.085499,0.06074,0.000148,0.000194
310,0.102507,0.061984,0.104538,0.091668,0.089616,0.063231,0.000149,0.000202
310,0.103706,0.061344,0.103663,0.089467,0.08943,0.063572,0.000152,0.000202
315,0.108141,0.064876,0.109361,0.094957,0.094642,0.066605,0.000146,0.000196
315,0.108484,0.065233,0.108716,0.094658,0.09374,0.066088,0.000152,0.000195
320,0.113245,0.068148,0.113732,0.098017,0.098177,0.070021,0.000169,0.000219
320,0.112789,0.068963,0.114276,0.099144,0.09846,0.069325,0.000161,0.000216
325,0.118443,0.07156,0.119604,0.104182,0.103926,0.072859,0.000183,0.000232
325,0.118647,0.072093,0.120629,0.104324,0.104071,0.072996,0.000187,0.000223
330,0.124056,0.074955,0.126158,0.11084,0.108545,0.076392,0.000171,0.000217
330,0.124231,0.074664,0.12649,0.108264,0.108446,0.07652,0.000182,0.000226
335,0.130073,0.078871,0.13334,0.115069,0.114279,0.079848,0.000191,0.000232
335,0.130449,0.078737,0.133755,0.115314,0.114117,0.079859,0.000202,0.000234
340,0.136096,0.081532,0.137783,0.11885,0.118549,0.083528,0.000184,0.000246
340,0.136589,0.081431,0.138137,0.119329,0.119453,0.08361,0.000192,0.000248
345,0.142228,0.085788,0.14437,0.126185,0.124265,0.087583,0.0002,0.000255
345,0.141863,0.085912,0.144482,0.124869,0.124282,0.087601,0.000201,0.000257
350,0.149215,0.089096,0.150533,0.131342,0.12958,0.097397,0.000198,0.000249
350,0.148925,0.089301,0.149707,0.130657,0.131198,0.090476,0.000209,0.000257
355,0.154611,0.093164,0.157705,0.136805,0.136416,0.094771,0.000223,0.000282
355,0.155798,0.093407,0.156468,0.138313,0.136283,0.095351,0.000207,0.000252
360,0.161942,0.096922,0.163997,0.144667,0.142991,0.099319,0.000243,0.00027
360,0.161806,0.097317,0.16399,0.143661,0.142674,0.099083,0.00022,0.000275
365,0.169079,0.101026,0.172836,0.149339,0.149617,0.103253,0.000224,0.000284
365,0.168548,0.101931,0.17129,0.150272,0.150348,0.103381,0.00023,0.000282
370,0.176533,0.10523,0.178489,0.158267,0.156273,0.108125,0.000234,0.000294
370,0.176602,0.105036,0.178232,0.156829,0.156718,0.107982,0.000232,0.000284
375,0.183694,0.110259,0.183797,0.163211,0.163378,0.111355,0.000248,0.000292
375,0.183021,0.10988,0.185057,0.162913,0.164019,0.111952,0.000246,0.000375
380,0.191078,0.114395,0.191976,0.169985,0.169897,0.11621,0.00025,0.000299
380,0.190444,0.114156,0.191595,0.170875,0.17108,0.116295,0.000265,0.00031
385,0.198816,0.11894,0.203412,0.180132,0.179037,0.121738,0.000253,0.000296
385,0.198221,0.119289,0.200505,0.178899,0.17992,0.121371,0.000258,0.000314
390,0.205343,0.123466,0.20866,0.185915,0.186739,0.125531,0.00027,0.000335
390,0.206586,0.123398,0.208733,0.186785,0.186279,0.125955,0.000271,0.000321
395,0.214004,0.128144,0.218193,0.196737,0.194927,0.13131,0.000274,0.000334
395,0.214027,0.128458,0.218478,0.195649,0.194679,0.131549,0.000252,0.000314
400,0.221715,0.133016,0.228161,0.203172,0.202293,0.135776,0.00025,0.000318
400,0.221685,0.133388,0.224556,0.201947,0.202124,0.13647,0.000282,0.000366
405,0.231288,0.138266,0.235976,0.209733,0.209988,0.14102,0.000278,0.000337
